# MNE-Annotations
# orig_time : 2021-01-01 10:14:48
# onset, duration, description
1470.97,0.0,photic_stimulation/5
1471.025,0.0,photic_stimulation/5
1471.07,0.0,photic_stimulation/5
1471.125,0.0,photic_stimulation/5
1471.175,0.0,photic_stimulation/5
1471.22,0.0,photic_stimulation/5
1471.27,0.0,photic_stimulation/5
1471.325,0.0,photic_stimulation/5
1471.37,0.0,photic_stimulation/5
1471.42,0.0,photic_stimulation/5
1471.47,0.0,photic_stimulation/5
1471.52,0.0,photic_stimulation/5
1471.57,0.0,photic_stimulation/5
1471.62,0.0,photic_stimulation/5
1471.675,0.0,photic_stimulation/5
1471.72,0.0,photic_stimulation/5
1471.77,0.0,photic_stimulation/5
1471.825,0.0,photic_stimulation/5
1471.87,0.0,photic_stimulation/5
1471.925,0.0,photic_stimulation/5
1471.975,0.0,photic_stimulation/5
1472.02,0.0,photic_stimulation/5
1472.07,0.0,photic_stimulation/5
1472.12,0.0,photic_stimulation/5
1472.175,0.0,photic_stimulation/5
1472.22,0.0,photic_stimulation/5
1472.27,0.0,photic_stimulation/5
1472.32,0.0,photic_stimulation/5
1472.37,0.0,photic_stimulation/5
1472.42,0.0,photic_stimulation/5
1472.475,0.0,photic_stimulation/5
1472.52,0.0,photic_stimulation/5
1472.57,0.0,photic_stimulation/5
1472.625,0.0,photic_stimulation/5
1472.67,0.0,photic_stimulation/5
1472.725,0.0,photic_stimulation/5
1472.77,0.0,photic_stimulation/5
1472.82,0.0,photic_stimulation/5
1472.87,0.0,photic_stimulation/5
1472.92,0.0,photic_stimulation/5
1472.975,0.0,photic_stimulation/5
1473.02,0.0,photic_stimulation/5
1473.07,0.0,photic_stimulation/5
1473.12,0.0,photic_stimulation/5
1473.17,0.0,photic_stimulation/5
1473.22,0.0,photic_stimulation/5
1473.275,0.0,photic_stimulation/5
1473.32,0.0,photic_stimulation/5
1473.37,0.0,photic_stimulation/5
1473.42,0.0,photic_stimulation/5
1473.47,0.0,photic_stimulation/5
1473.52,0.0,photic_stimulation/5
1473.57,0.0,photic_stimulation/5
1473.625,0.0,photic_stimulation/5
1473.67,0.0,photic_stimulation/5
1473.72,0.0,photic_stimulation/5
1473.775,0.0,photic_stimulation/5
1473.82,0.0,photic_stimulation/5
1473.87,0.0,photic_stimulation/5
1473.925,0.0,photic_stimulation/5
1473.97,0.0,photic_stimulation/5
1474.02,0.0,photic_stimulation/5
1474.07,0.0,photic_stimulation/5
1474.12,0.0,photic_stimulation/5
1474.17,0.0,photic_stimulation/5
1474.22,0.0,photic_stimulation/5
1474.275,0.0,photic_stimulation/5
1474.32,0.0,photic_stimulation/5
1474.375,0.0,photic_stimulation/5
1474.425,0.0,photic_stimulation/5
1474.475,0.0,photic_stimulation/5
1474.525,0.0,photic_stimulation/5
1474.575,0.0,photic_stimulation/5
1474.625,0.0,photic_stimulation/5
1474.675,0.0,photic_stimulation/5
1474.725,0.0,photic_stimulation/5
1474.775,0.0,photic_stimulation/5
1474.825,0.0,photic_stimulation/5
1474.875,0.0,photic_stimulation/5
1474.925,0.0,photic_stimulation/5
1474.975,0.0,photic_stimulation/5
1475.025,0.0,photic_stimulation/5
1475.075,0.0,photic_stimulation/5
1475.125,0.0,photic_stimulation/5
1475.175,0.0,photic_stimulation/5
1475.225,0.0,photic_stimulation/5
1475.275,0.0,photic_stimulation/5
1475.325,0.0,photic_stimulation/5
1475.375,0.0,photic_stimulation/5
1475.425,0.0,photic_stimulation/5
1475.475,0.0,photic_stimulation/5
1475.525,0.0,photic_stimulation/5
1475.575,0.0,photic_stimulation/5
1475.625,0.0,photic_stimulation/5
1475.675,0.0,photic_stimulation/5
